[FPGA sim] port=12346  pass +fpga_id=N to tag output
[FPGA2] RX #69      data=0x01000004 (len=4 B)
[FPGA2] TX #69.7  data=0x02000007
[FPGA2] RX #70      data=0x01000005 (len=4 B)
[FPGA2] RX #70      data=0x01000006 (len=4 B)
[FPGA2] RX #70      data=0x01000007 (len=4 B)
[FPGA2] TX #70.0  data=0x02000000
[FPGA2] TX #70.1  data=0x02000001
[FPGA2] TX #70.2  data=0x02000002
[FPGA2] TX #70.3  data=0x02000003
[FPGA2] RX #70      data=0x01000000 (len=4 B)
[FPGA2] TX #70.4  data=0x02000004
[FPGA2] TX #70.5  data=0x02000005
[FPGA2] RX #70      data=0x01000001 (len=4 B)
[FPGA2] TX #70.6  data=0x02000006
[FPGA2] TX #70.7  data=0x02000007
[FPGA2] RX #71      data=0x01000002 (len=4 B)
[FPGA2] RX #71      data=0x01000003 (len=4 B)
[FPGA2] RX #71      data=0x01000004 (len=4 B)
[FPGA2] RX #71      data=0x01000005 (len=4 B)
[FPGA2] RX #71      data=0x01000006 (len=4 B)
[FPGA2] RX #71      data=0x01000007 (len=4 B)
[FPGA2] TX #71.0  data=0x02000000
[FPGA2] TX #71.1  data=0x02000001
[FPGA2] TX #71.2  data=0x02000002
[FPGA2] TX #71.3  data=0x02000003
[FPGA2] TX #71.4  data=0x02000004
[FPGA2] TX #71.5  data=0x02000005
[FPGA2] RX #71      data=0x01000000 (len=4 B)
[FPGA2] TX #71.6  data=0x02000006
[FPGA2] RX #71      data=0x01000001 (len=4 B)
[FPGA2] TX #71.7  data=0x02000007
[FPGA2] RX #72      data=0x01000002 (len=4 B)
[FPGA2] RX #72      data=0x01000003 (len=4 B)
[FPGA2] RX #72      data=0x01000004 (len=4 B)
[FPGA2] RX #72      data=0x01000005 (len=4 B)
[FPGA2] RX #72      data=0x01000006 (len=4 B)
[FPGA2] RX #72      data=0x01000007 (len=4 B)
[FPGA2] TX #72.0  data=0x02000000
[FPGA2] TX #72.1  data=0x02000001
[FPGA2] TX #72.2  data=0x02000002
[FPGA2] TX #72.3  data=0x02000003
[FPGA2] TX #72.4  data=0x02000004
[FPGA2] RX #72      data=0x01000000 (len=4 B)
[FPGA2] TX #72.5  data=0x02000005
[FPGA2] RX #72      data=0x01000001 (len=4 B)
[FPGA2] TX #72.6  data=0x02000006
[FPGA2] RX #72      data=0x01000002 (len=4 B)
[FPGA2] TX #72.7  data=0x02000007
[FPGA2] RX #73      data=0x01000003 (len=4 B)
[FPGA2] RX #73      data=0x01000004 (len=4 B)
[FPGA2] RX #73      data=0x01000005 (len=4 B)
[FPGA2] RX #73      data=0x01000006 (len=4 B)
[FPGA2] RX #73      data=0x01000007 (len=4 B)
[FPGA2] TX #73.0  data=0x02000000
[FPGA2] TX #73.1  data=0x02000001
[FPGA2] TX #73.2  data=0x02000002
[FPGA2] TX #73.3  data=0x02000003
[FPGA2] RX #73      data=0x01000000 (len=4 B)
[FPGA2] TX #73.4  data=0x02000004
[FPGA2] RX #73      data=0x01000001 (len=4 B)
[FPGA2] TX #73.5  data=0x02000005
[FPGA2] RX #73      data=0x01000002 (len=4 B)
[FPGA2] TX #73.6  data=0x02000006
[FPGA2] RX #73      data=0x01000003 (len=4 B)
[FPGA2] TX #73.7  data=0x02000007
[FPGA2] RX #74      data=0x01000004 (len=4 B)
[FPGA2] RX #74      data=0x01000005 (len=4 B)
[FPGA2] RX #74      data=0x01000006 (len=4 B)
[FPGA2] RX #74      data=0x01000007 (len=4 B)
[FPGA2] TX #74.0  data=0x02000000
[FPGA2] TX #74.1  data=0x02000001
[FPGA2] TX #74.2  data=0x02000002
[FPGA2] TX #74.3  data=0x02000003
[FPGA2] RX #74      data=0x01000000 (len=4 B)
[FPGA2] TX #74.4  data=0x02000004
[FPGA2] TX #74.5  data=0x02000005
[FPGA2] RX #74      data=0x01000001 (len=4 B)
[FPGA2] TX #74.6  data=0x02000006
[FPGA2] TX #74.7  data=0x02000007
[FPGA2] RX #75      data=0x01000002 (len=4 B)
[FPGA2] RX #75      data=0x01000003 (len=4 B)
[FPGA2] RX #75      data=0x01000004 (len=4 B)
[FPGA2] RX #75      data=0x01000005 (len=4 B)
[FPGA2] RX #75      data=0x01000006 (len=4 B)
[FPGA2] RX #75      data=0x01000007 (len=4 B)
[FPGA2] TX #75.0  data=0x02000000
[FPGA2] TX #75.1  data=0x02000001
[FPGA2] TX #75.2  data=0x02000002
[FPGA2] TX #75.3  data=0x02000003
[FPGA2] TX #75.4  data=0x02000004
[FPGA2] TX #75.5  data=0x02000005
[FPGA2] RX #75      data=0x01000000 (len=4 B)
[FPGA2] TX #75.6  data=0x02000006
[FPGA2] RX #75      data=0x01000001 (len=4 B)
[FPGA2] TX #75.7  data=0x02000007
[FPGA2] RX #76      data=0x01000002 (len=4 B)
[FPGA2] RX #76      data=0x01000003 (len=4 B)
[FPGA2] RX #76      data=0x01000004 (len=4 B)
[FPGA2] RX #76      data=0x01000005 (len=4 B)
[FPGA2] RX #76      data=0x01000006 (len=4 B)
[FPGA2] RX #76      data=0x01000007 (len=4 B)
[FPGA2] TX #76.0  data=0x02000000
[FPGA2] TX #76.1  data=0x02000001
[FPGA2] TX #76.2  data=0x02000002
[FPGA2] TX #76.3  data=0x02000003
[FPGA2] TX #76.4  data=0x02000004
[FPGA2] RX #76      data=0x01000000 (len=4 B)
[FPGA2] TX #76.5  data=0x02000005
[FPGA2] RX #76      data=0x01000001 (len=4 B)
[FPGA2] TX #76.6  data=0x02000006
[FPGA2] RX #76      data=0x01000002 (len=4 B)
[FPGA2] TX #76.7  data=0x02000007
[FPGA2] RX #77      data=0x01000003 (len=4 B)
[FPGA2] RX #77      data=0x01000004 (len=4 B)
[FPGA2] RX #77      data=0x01000005 (len=4 B)
[FPGA2] RX #77      data=0x01000006 (len=4 B)
[FPGA2] RX #77      data=0x01000007 (len=4 B)
[FPGA2] TX #77.0  data=0x02000000
[FPGA2] TX #77.1  data=0x02000001
[FPGA2] TX #77.2  data=0x02000002
[FPGA2] TX #77.3  data=0x02000003
[FPGA2] RX #77      data=0x01000000 (len=4 B)
[FPGA2] TX #77.4  data=0x02000004
[FPGA2] TX #77.5  data=0x02000005
[FPGA2] RX #77      data=0x01000001 (len=4 B)
[FPGA2] TX #77.6  data=0x02000006
[FPGA2] TX #77.7  data=0x02000007
[FPGA2] RX #78      data=0x01000002 (len=4 B)
[FPGA2] RX #78      data=0x01000003 (len=4 B)
[FPGA2] RX #78      data=0x01000004 (len=4 B)
[FPGA2] RX #78      data=0x01000005 (len=4 B)
[FPGA2] RX #78      data=0x01000006 (len=4 B)
[FPGA2] RX #78      data=0x01000007 (len=4 B)
[FPGA2] RX #78      data=0x01000000 (len=4 B)
[FPGA2] RX #78      data=0x01000001 (len=4 B)
[FPGA2] TX #78.0  data=0x02000000
[FPGA2] TX #78.1  data=0x02000001
[FPGA2] TX #78.2  data=0x02000002
[FPGA2] RX #78      data=0x01000002 (len=4 B)
[FPGA2] TX #78.3  data=0x02000003
[FPGA2] RX #78      data=0x01000003 (len=4 B)
[FPGA2] TX #78.4  data=0x02000004
[FPGA2] RX #78      data=0x01000004 (len=4 B)
[FPGA2] TX #78.5  data=0x02000005
[FPGA2] TX #78.6  data=0x02000006
[FPGA2] RX #78      data=0x01000005 (len=4 B)
[FPGA2] TX #78.7  data=0x02000007
[FPGA2] RX #79      data=0x01000006 (len=4 B)
[FPGA2] RX #79      data=0x01000007 (len=4 B)
[FPGA2] TX #79.0  data=0x02000000
[FPGA2] TX #79.1  data=0x02000001
[FPGA2] TX #79.2  data=0x02000002
[FPGA2] TX #79.3  data=0x02000003
[FPGA2] RX #79      data=0x01000000 (len=4 B)
[FPGA2] TX #79.4  data=0x02000004
[FPGA2] TX #79.5  data=0x02000005
[FPGA2] RX #79      data=0x01000001 (len=4 B)
[FPGA2] TX #79.6  data=0x02000006
[FPGA2] TX #79.7  data=0x02000007
[FPGA2] RX #80      data=0x01000002 (len=4 B)
[FPGA2] RX #80      data=0x01000003 (len=4 B)
[FPGA2] RX #80      data=0x01000004 (len=4 B)
[FPGA2] RX #80      data=0x01000005 (len=4 B)
[FPGA2] RX #80      data=0x01000006 (len=4 B)
[FPGA2] RX #80      data=0x01000007 (len=4 B)
[FPGA2] TX #80.0  data=0x02000000
[FPGA2] TX #80.1  data=0x02000001
[FPGA2] TX #80.2  data=0x02000002
[FPGA2] TX #80.3  data=0x02000003
[FPGA2] TX #80.4  data=0x02000004
[FPGA2] TX #80.5  data=0x02000005
[FPGA2] RX #80      data=0x01000000 (len=4 B)
[FPGA2] TX #80.6  data=0x02000006
[FPGA2] RX #80      data=0x01000001 (len=4 B)
[FPGA2] TX #80.7  data=0x02000007
[FPGA2] RX #81      data=0x01000002 (len=4 B)
[FPGA2] RX #81      data=0x01000003 (len=4 B)
[FPGA2] RX #81      data=0x01000004 (len=4 B)
[FPGA2] RX #81      data=0x01000005 (len=4 B)
[FPGA2] RX #81      data=0x01000006 (len=4 B)
[FPGA2] RX #81      data=0x01000007 (len=4 B)
[FPGA2] TX #81.0  data=0x02000000
[FPGA2] TX #81.1  data=0x02000001
[FPGA2] TX #81.2  data=0x02000002
[FPGA2] TX #81.3  data=0x02000003
[FPGA2] RX #81      data=0x01000000 (len=4 B)
[FPGA2] TX #81.4  data=0x02000004
[FPGA2] TX #81.5  data=0x02000005
[FPGA2] RX #81      data=0x01000001 (len=4 B)
[FPGA2] TX #81.6  data=0x02000006
[FPGA2] TX #81.7  data=0x02000007
[FPGA2] RX #82      data=0x01000002 (len=4 B)
[FPGA2] RX #82      data=0x01000003 (len=4 B)
[FPGA2] RX #82      data=0x01000004 (len=4 B)
[FPGA2] RX #82      data=0x01000005 (len=4 B)
[FPGA2] RX #82      data=0x01000006 (len=4 B)
[FPGA2] RX #82      data=0x01000007 (len=4 B)
[FPGA2] TX #82.0  data=0x02000000
[FPGA2] TX #82.1  data=0x02000001
[FPGA2] TX #82.2  data=0x02000002
[FPGA2] RX #82      data=0x01000000 (len=4 B)
[FPGA2] TX #82.3  data=0x02000003
[FPGA2] RX #82      data=0x01000001 (len=4 B)
[FPGA2] TX #82.4  data=0x02000004
[FPGA2] RX #82      data=0x01000002 (len=4 B)
[FPGA2] TX #82.5  data=0x02000005
[FPGA2] RX #82      data=0x01000003 (len=4 B)
[FPGA2] TX #82.6  data=0x02000006
[FPGA2] RX #82      data=0x01000004 (len=4 B)
[FPGA2] TX #82.7  data=0x02000007
[FPGA2] RX #83      data=0x01000005 (len=4 B)
[FPGA2] RX #83      data=0x01000006 (len=4 B)
[FPGA2] RX #83      data=0x01000007 (len=4 B)
[FPGA2] RX #83      data=0x01000000 (len=4 B)
[FPGA2] TX #83.0  data=0x02000000
[FPGA2] TX #83.1  data=0x02000001
[FPGA2] TX #83.2  data=0x02000002
[FPGA2] TX #83.3  data=0x02000003
[FPGA2] RX #83      data=0x01000001 (len=4 B)
[FPGA2] TX #83.4  data=0x02000004
[FPGA2] RX #83      data=0x01000002 (len=4 B)
[FPGA2] TX #83.5  data=0x02000005
[FPGA2] RX #83      data=0x01000003 (len=4 B)
[FPGA2] TX #83.6  data=0x02000006
[FPGA2] RX #83      data=0x01000004 (len=4 B)
[FPGA2] TX #83.7  data=0x02000007
[FPGA2] RX #84      data=0x01000005 (len=4 B)
[FPGA2] RX #84      data=0x01000006 (len=4 B)
[FPGA2] RX #84      data=0x01000007 (len=4 B)
