[FPGA sim] port=12345  pass +fpga_id=N to tag output
[FPGA1] TX #27.3  data=0x01000003
[FPGA1] RX #27      data=0x02000003 (len=4 B)
[FPGA1] TX #27.4  data=0x01000004
[FPGA1] RX #27      data=0x02000004 (len=4 B)
[FPGA1] TX #27.5  data=0x01000005
[FPGA1] RX #27      data=0x02000005 (len=4 B)
[FPGA1] TX #27.6  data=0x01000006
[FPGA1] RX #27      data=0x02000006 (len=4 B)
[FPGA1] TX #27.7  data=0x01000007
[FPGA1] RX #28      data=0x02000007 (len=4 B)
[FPGA1] RX #28      data=0x02000000 (len=4 B)
[FPGA1] TX #28.0  data=0x01000000
[FPGA1] TX #28.1  data=0x01000001
[FPGA1] TX #28.2  data=0x01000002
[FPGA1] RX #28      data=0x02000001 (len=4 B)
[FPGA1] TX #28.3  data=0x01000003
[FPGA1] RX #28      data=0x02000002 (len=4 B)
[FPGA1] TX #28.4  data=0x01000004
[FPGA1] RX #28      data=0x02000003 (len=4 B)
[FPGA1] TX #28.5  data=0x01000005
[FPGA1] RX #28      data=0x02000004 (len=4 B)
[FPGA1] TX #28.6  data=0x01000006
[FPGA1] RX #28      data=0x02000005 (len=4 B)
[FPGA1] TX #28.7  data=0x01000007
[FPGA1] RX #29      data=0x02000006 (len=4 B)
[FPGA1] RX #29      data=0x02000007 (len=4 B)
[FPGA1] RX #29      data=0x02000000 (len=4 B)
[FPGA1] RX #29      data=0x02000001 (len=4 B)
[FPGA1] TX #29.0  data=0x01000000
[FPGA1] TX #29.1  data=0x01000001
[FPGA1] TX #29.2  data=0x01000002
[FPGA1] TX #29.3  data=0x01000003
[FPGA1] RX #29      data=0x02000002 (len=4 B)
[FPGA1] TX #29.4  data=0x01000004
[FPGA1] RX #29      data=0x02000003 (len=4 B)
[FPGA1] TX #29.5  data=0x01000005
[FPGA1] RX #29      data=0x02000004 (len=4 B)
[FPGA1] TX #29.6  data=0x01000006
[FPGA1] RX #29      data=0x02000005 (len=4 B)
[FPGA1] TX #29.7  data=0x01000007
[FPGA1] RX #30      data=0x02000006 (len=4 B)
[FPGA1] RX #30      data=0x02000007 (len=4 B)
[FPGA1] RX #30      data=0x02000000 (len=4 B)
[FPGA1] TX #30.0  data=0x01000000
[FPGA1] TX #30.1  data=0x01000001
[FPGA1] TX #30.2  data=0x01000002
[FPGA1] TX #30.3  data=0x01000003
[FPGA1] RX #30      data=0x02000001 (len=4 B)
[FPGA1] TX #30.4  data=0x01000004
[FPGA1] RX #30      data=0x02000002 (len=4 B)
[FPGA1] TX #30.5  data=0x01000005
[FPGA1] RX #30      data=0x02000003 (len=4 B)
[FPGA1] TX #30.6  data=0x01000006
[FPGA1] RX #30      data=0x02000004 (len=4 B)
[FPGA1] TX #30.7  data=0x01000007
[FPGA1] RX #31      data=0x02000005 (len=4 B)
[FPGA1] RX #31      data=0x02000006 (len=4 B)
[FPGA1] RX #31      data=0x02000007 (len=4 B)
[FPGA1] RX #31      data=0x02000000 (len=4 B)
[FPGA1] RX #31      data=0x02000001 (len=4 B)
[FPGA1] RX #31      data=0x02000002 (len=4 B)
[FPGA1] TX #31.0  data=0x01000000
[FPGA1] TX #31.1  data=0x01000001
[FPGA1] TX #31.2  data=0x01000002
[FPGA1] TX #31.3  data=0x01000003
[FPGA1] RX #31      data=0x02000003 (len=4 B)
[FPGA1] TX #31.4  data=0x01000004
[FPGA1] RX #31      data=0x02000004 (len=4 B)
[FPGA1] TX #31.5  data=0x01000005
[FPGA1] RX #31      data=0x02000005 (len=4 B)
[FPGA1] TX #31.6  data=0x01000006
[FPGA1] RX #31      data=0x02000006 (len=4 B)
[FPGA1] TX #31.7  data=0x01000007
[FPGA1] RX #32      data=0x02000007 (len=4 B)
[FPGA1] RX #32      data=0x02000000 (len=4 B)
[FPGA1] RX #32      data=0x02000001 (len=4 B)
[FPGA1] TX #32.0  data=0x01000000
[FPGA1] TX #32.1  data=0x01000001
[FPGA1] TX #32.2  data=0x01000002
[FPGA1] TX #32.3  data=0x01000003
[FPGA1] RX #32      data=0x02000002 (len=4 B)
[FPGA1] TX #32.4  data=0x01000004
[FPGA1] RX #32      data=0x02000003 (len=4 B)
[FPGA1] TX #32.5  data=0x01000005
[FPGA1] RX #32      data=0x02000004 (len=4 B)
[FPGA1] TX #32.6  data=0x01000006
[FPGA1] RX #32      data=0x02000005 (len=4 B)
[FPGA1] TX #32.7  data=0x01000007
[FPGA1] RX #33      data=0x02000006 (len=4 B)
[FPGA1] RX #33      data=0x02000007 (len=4 B)
[FPGA1] RX #33      data=0x02000000 (len=4 B)
[FPGA1] RX #33      data=0x02000001 (len=4 B)
[FPGA1] TX #33.0  data=0x01000000
[FPGA1] TX #33.1  data=0x01000001
[FPGA1] TX #33.2  data=0x01000002
[FPGA1] TX #33.3  data=0x01000003
[FPGA1] RX #33      data=0x02000002 (len=4 B)
[FPGA1] TX #33.4  data=0x01000004
[FPGA1] RX #33      data=0x02000003 (len=4 B)
[FPGA1] TX #33.5  data=0x01000005
[FPGA1] RX #33      data=0x02000004 (len=4 B)
[FPGA1] TX #33.6  data=0x01000006
[FPGA1] RX #33      data=0x02000005 (len=4 B)
[FPGA1] TX #33.7  data=0x01000007
[FPGA1] RX #34      data=0x02000006 (len=4 B)
